 real U  UE   I  IE  tr  trE gbe gbeE  user  film
 3.0 3.0 0.0 3.0 0.0 3.4 0.4 3.7 0.7 5979.0 2627.0
 4.0 5.0 1.0 3.0 1.0 3.8 0.2 3.9 0.1 2767.0 587.0
 5.0 5.0 0.0 4.0 1.0 3.9 1.1 4.5 0.5 4362.0 3750.0
 4.0 2.0 2.0 2.0 2.0 3.4 0.6 3.8 0.2 4155.0 3739.0
 5.0 5.0 0.0 3.0 2.0 4.6 0.4 5.0 0.0 455.0 317.0
 5.0 4.0 1.0 4.0 1.0 3.5 1.5 3.9 1.1 2303.0 2406.0
 5.0 5.0 0.0 5.0 0.0 4.5 0.5 4.6 0.4 998.0 259.0
 4.0 3.0 1.0 4.0 0.0 3.9 0.1 4.3 0.3 1297.0 261.0
 3.0 4.0 1.0 2.0 1.0 3.8 0.8 5.3 2.3 5685.0 2390.0
 5.0 5.0 0.0 4.0 1.0 4.1 0.9 4.5 0.5 3476.0 2395.0
 3.0 2.0 1.0 3.0 0.0 3.1 0.1 3.3 0.3 1003.0 3868.0
 3.0 2.0 1.0 3.0 0.0 2.3 0.7 2.6 0.4 1358.0 3324.0
 3.0 2.0 1.0 4.0 1.0 3.1 0.1 3.4 0.4 330.0 2687.0
 4.0 3.0 1.0 4.0 0.0 3.8 0.2 4.0 0.0 4059.0 1392.0
 3.0 3.0 0.0 1.0 2.0 3.9 0.9 4.0 1.0 1919.0 2738.0
 2.0 5.0 3.0 4.0 2.0 4.1 2.1 4.4 2.4 3981.0 3577.0
 5.0 3.0 2.0 4.0 1.0 3.2 1.8 3.3 1.7 5379.0 3534.0
 5.0 5.0 0.0 4.0 1.0 4.3 0.7 4.7 0.3 5556.0 2857.0
 5.0 1.0 4.0 5.0 0.0 4.4 0.6 4.5 0.5 4712.0 1220.0
 4.0 4.0 0.0 4.0 0.0 4.0 0.0 4.2 0.2 3053.0 1996.0
 4.0 4.0 0.0 2.0 2.0 3.5 0.5 3.7 0.3 1085.0 2192.0
 5.0 3.0 2.0 2.0 3.0 3.3 1.7 4.0 1.0 2339.0 2105.0
 4.0 4.0 0.0 2.0 2.0 3.9 0.1 4.8 0.8 1009.0 3359.0
 4.0 4.0 0.0 4.0 0.0 3.4 0.6 3.8 0.2 4161.0 1572.0
 3.0 4.0 1.0 4.0 1.0 4.0 1.0 4.1 1.1 2485.0 1078.0
 4.0 1.0 3.0 4.0 0.0 3.8 0.2 3.8 0.2 1550.0 2578.0
 5.0 4.0 1.0 4.0 1.0 4.0 1.0 4.4 0.6 3789.0 1079.0
 3.0 2.0 1.0 3.0 0.0 3.2 0.2 3.2 0.2 2663.0 2640.0
 4.0 3.0 1.0 4.0 0.0 3.4 0.6 4.0 0.0 5099.0 847.0
 4.0 3.0 1.0 3.0 1.0 3.4 0.6 3.9 0.1 3000.0 1644.0
 4.0 2.0 2.0 3.0 1.0 2.7 1.3 3.4 0.6 4276.0 176.0
 4.0 4.0 0.0 3.0 1.0 3.5 0.5 3.6 0.4 5135.0 831.0
 3.0 4.0 1.0 5.0 2.0 3.9 0.9 4.2 1.2 2610.0 222.0
 3.0 4.0 1.0 4.0 1.0 3.5 0.5 3.6 0.6 4901.0 779.0
 3.0 3.0 0.0 3.0 0.0 2.7 0.3 2.8 0.2 4125.0 3387.0
 5.0 4.0 1.0 5.0 0.0 4.1 0.9 4.1 0.9 676.0 115.0
 1.0 1.0 0.0 2.0 1.0 2.7 1.7 2.8 1.8 970.0 1372.0
 3.0 2.0 1.0 2.0 1.0 3.5 0.5 4.4 1.4 1149.0 3528.0
 1.0 1.0 0.0 3.0 2.0 2.2 1.2 2.8 1.8 474.0 1498.0
 4.0 4.0 0.0 5.0 1.0 3.8 0.2 4.6 0.6 1644.0 2079.0
 4.0 4.0 0.0 4.0 0.0 3.8 0.2 4.3 0.3 2994.0 2077.0
 5.0 3.0 2.0 4.0 1.0 4.4 0.6 4.5 0.5 5700.0 592.0
 5.0 4.0 1.0 4.0 1.0 3.5 1.5 3.7 1.3 4223.0 338.0
 3.0 3.0 0.0 3.0 0.0 3.2 0.2 3.6 0.6 3028.0 59.0
 5.0 4.0 1.0 3.0 2.0 3.2 1.8 3.5 1.5 3604.0 2711.0
 3.0 4.0 1.0 5.0 2.0 2.9 0.1 3.1 0.1 5605.0 3013.0
 4.0 2.0 2.0 2.0 2.0 3.6 0.4 3.7 0.3 5224.0 3252.0
 4.0 3.0 1.0 4.0 0.0 3.9 0.1 4.2 0.2 1116.0 930.0
 2.0 4.0 2.0 1.0 1.0 3.6 1.6 3.9 1.9 1005.0 1607.0
 4.0 3.0 1.0 4.0 0.0 4.2 0.2 4.6 0.6 1740.0 3800.0
 3.0 4.0 1.0 3.0 0.0 3.2 0.2 3.6 0.6 2899.0 3697.0
 4.0 4.0 0.0 4.0 0.0 4.2 0.2 4.2 0.2 1627.0 1703.0
 2.0 3.0 1.0 4.0 2.0 3.4 1.4 3.5 1.5 1296.0 3927.0
 5.0 5.0 0.0 5.0 0.0 4.3 0.7 4.3 0.7 947.0 1223.0
 2.0 4.0 2.0 2.0 0.0 3.5 1.5 3.8 1.8 5968.0 3554.0
 4.0 5.0 1.0 4.0 0.0 3.1 0.9 3.1 0.9 807.0 723.0
 3.0 3.0 0.0 3.0 0.0 3.5 0.5 4.1 1.1 5626.0 2462.0
 5.0 5.0 0.0 5.0 0.0 3.7 1.3 4.5 0.5 4373.0 1981.0
 2.0 5.0 3.0 2.0 0.0 3.5 1.5 4.1 2.1 5366.0 2879.0
 5.0 5.0 0.0 5.0 0.0 4.5 0.5 5.1 0.1 3264.0 259.0
 4.0 5.0 1.0 3.0 1.0 4.4 0.4 4.5 0.5 2938.0 922.0
 5.0 5.0 0.0 4.0 1.0 3.6 1.4 4.0 1.0 790.0 379.0
 4.0 4.0 0.0 3.0 1.0 3.7 0.3 3.9 0.1 2977.0 2528.0
 3.0 3.0 0.0 2.0 1.0 3.7 0.7 4.0 1.0 1145.0 2352.0
 4.0 4.0 0.0 1.0 3.0 4.0 0.0 4.2 0.2 1774.0 2916.0
 4.0 2.0 2.0 4.0 0.0 2.8 1.2 2.9 1.1 1596.0 2601.0
 3.0 3.0 0.0 3.0 0.0 3.7 0.7 4.1 1.1 5075.0 3417.0
 5.0 3.0 2.0 1.0 4.0 3.5 1.5 3.8 1.2 224.0 332.0
 4.0 2.0 2.0 5.0 1.0 3.8 0.2 4.5 0.5 4460.0 1920.0
 3.0 3.0 0.0 3.0 0.0 3.3 0.3 3.8 0.8 2004.0 2769.0
 4.0 4.0 0.0 4.0 0.0 3.2 0.8 3.2 0.8 350.0 3637.0
 4.0 2.0 2.0 2.0 2.0 3.9 0.1 4.3 0.3 3560.0 3407.0
 3.0 4.0 1.0 2.0 1.0 3.4 0.4 4.1 1.1 5366.0 1700.0
 4.0 3.0 1.0 3.0 1.0 3.2 0.8 3.7 0.3 3030.0 1734.0
 2.0 1.0 1.0 3.0 1.0 3.0 1.0 3.4 1.4 2823.0 3716.0
 4.0 2.0 2.0 4.0 0.0 3.2 0.8 3.3 0.7 2985.0 2711.0
 4.0 3.0 1.0 3.0 1.0 2.7 1.3 3.0 1.0 2272.0 2040.0
 2.0 2.0 0.0 2.0 0.0 2.9 0.9 3.2 1.2 318.0 2804.0
 4.0 2.0 2.0 3.0 1.0 4.3 0.3 5.0 1.0 4310.0 968.0
 3.0 3.0 0.0 3.0 0.0 3.8 0.8 4.2 1.2 3617.0 3071.0
 3.0 4.0 1.0 4.0 1.0 4.2 1.2 4.4 1.4 5252.0 3195.0
 5.0 4.0 1.0 4.0 1.0 3.8 1.2 3.8 1.2 3190.0 479.0
 3.0 5.0 2.0 3.0 0.0 3.9 0.9 4.1 1.1 2308.0 901.0
 4.0 2.0 2.0 3.0 1.0 3.4 0.6 3.7 0.3 4457.0 265.0
 4.0 3.0 1.0 5.0 1.0 3.7 0.3 4.3 0.3 4812.0 1100.0
 4.0 4.0 0.0 4.0 0.0 4.1 0.1 4.1 0.1 5758.0 1230.0
 4.0 5.0 1.0 3.0 1.0 3.5 0.5 3.9 0.1 3228.0 1534.0
 5.0 2.0 3.0 3.0 2.0 2.2 2.8 2.8 2.2 3817.0 2700.0
 4.0 3.0 1.0 4.0 0.0 3.9 0.1 4.3 0.3 5947.0 313.0
 1.0 1.0 0.0 2.0 1.0 2.6 1.6 3.9 2.9 1339.0 991.0
 4.0 3.0 1.0 2.0 2.0 2.6 1.4 2.7 1.3 1245.0 326.0
 4.0 4.0 0.0 2.0 2.0 3.5 0.5 3.7 0.3 918.0 229.0
 4.0 4.0 0.0 4.0 0.0 4.2 0.2 4.3 0.3 5462.0 245.0
 3.0 4.0 1.0 3.0 0.0 3.2 0.2 3.4 0.4 1536.0 3534.0
 3.0 4.0 1.0 5.0 2.0 4.4 1.4 4.4 1.4 2007.0 2761.0
 3.0 4.0 1.0 3.0 0.0 3.4 0.4 4.7 1.7 5038.0 3369.0
 4.0 4.0 0.0 3.0 1.0 4.1 0.1 4.3 0.3 5487.0 2009.0
 4.0 4.0 0.0 1.0 3.0 3.1 0.9 3.2 0.8 2277.0 2687.0
 4.0 4.0 0.0 3.0 1.0 3.5 0.5 3.6 0.4 5775.0 3554.0
 3.0 4.0 1.0 4.0 1.0 3.7 0.7 3.7 0.7 1227.0 348.0
 3.0 2.0 1.0 2.0 1.0 3.2 0.2 3.4 0.4 4886.0 1875.0
 3.0 5.0 2.0 4.0 1.0 4.3 1.3 4.6 1.6 2584.0 909.0
 3.0 3.0 0.0 3.0 0.0 3.3 0.3 3.7 0.7 1039.0 3440.0
 5.0 5.0 0.0 5.0 0.0 4.1 0.9 4.4 0.6 3926.0 1609.0
 4.0 4.0 0.0 4.0 0.0 4.2 0.2 4.4 0.4 4898.0 1239.0
 3.0 1.0 2.0 4.0 1.0 3.9 0.9 4.6 1.6 795.0 594.0
 5.0 3.0 2.0 5.0 0.0 3.9 1.1 4.1 0.9 3587.0 2948.0
 5.0 5.0 0.0 3.0 2.0 4.3 0.7 4.9 0.1 2945.0 2027.0
 4.0 5.0 1.0 1.0 3.0 4.4 0.4 4.7 0.7 5133.0 749.0
 1.0 1.0 0.0 1.0 0.0 2.7 1.7 3.2 2.2 3070.0 3272.0
 1.0 3.0 2.0 1.0 0.0 3.5 2.5 4.4 3.4 2828.0 506.0
 4.0 3.0 1.0 4.0 0.0 4.1 0.1 4.1 0.1 686.0 3577.0
 4.0 3.0 1.0 5.0 1.0 4.0 0.0 4.1 0.1 2026.0 1673.0
 5.0 3.0 2.0 5.0 0.0 4.3 0.7 4.8 0.2 2628.0 295.0
 4.0 3.0 1.0 3.0 1.0 3.0 1.0 3.0 1.0 4251.0 1564.0
 3.0 4.0 1.0 3.0 0.0 3.2 0.2 3.3 0.3 2097.0 375.0
 5.0 5.0 0.0 2.0 3.0 4.5 0.5 5.0 0.0 502.0 1197.0
 3.0 1.0 2.0 3.0 0.0 2.3 0.7 2.8 0.2 4304.0 172.0
 5.0 2.0 3.0 4.0 1.0 3.5 1.5 4.2 0.8 2682.0 1776.0
 2.0 2.0 0.0 4.0 2.0 3.9 1.9 4.0 2.0 5285.0 1947.0
 3.0 2.0 1.0 2.0 1.0 3.0 0.0 3.6 0.6 1961.0 3456.0
 4.0 3.0 1.0 3.0 1.0 4.2 0.2 4.3 0.3 172.0 668.0
 3.0 3.0 0.0 3.0 0.0 2.5 0.5 2.6 0.4 5196.0 3765.0
 5.0 3.0 2.0 3.0 2.0 4.4 0.6 4.8 0.2 5432.0 1192.0
 1.0 1.0 0.0 3.0 2.0 2.2 1.2 2.9 1.9 5228.0 2700.0
 3.0 3.0 0.0 5.0 2.0 4.2 1.2 4.8 1.8 4815.0 1236.0
 4.0 3.0 1.0 5.0 1.0 4.1 0.1 4.1 0.1 1979.0 588.0
 5.0 5.0 0.0 4.0 1.0 4.2 0.8 4.2 0.8 1959.0 1234.0
 4.0 5.0 1.0 4.0 0.0 4.1 0.1 4.4 0.4 92.0 1199.0
 3.0 5.0 2.0 3.0 0.0 2.6 0.4 2.7 0.3 3930.0 3112.0
 4.0 4.0 0.0 5.0 1.0 4.1 0.1 4.4 0.4 2554.0 1960.0
 3.0 2.0 1.0 3.0 0.0 2.9 0.1 3.0 0.0 1171.0 1592.0
 5.0 5.0 0.0 2.0 3.0 4.1 0.9 4.2 0.8 2925.0 3577.0
 4.0 3.0 1.0 2.0 2.0 3.6 0.4 3.7 0.3 1578.0 2914.0
 3.0 2.0 1.0 2.0 1.0 3.3 0.3 3.5 0.5 307.0 449.0
 4.0 2.0 2.0 3.0 1.0 3.0 1.0 3.0 1.0 461.0 2614.0
 2.0 2.0 0.0 1.0 1.0 2.6 0.6 3.0 1.0 3525.0 696.0
 4.0 5.0 1.0 5.0 1.0 4.0 0.0 4.1 0.1 3357.0 1096.0
 5.0 4.0 1.0 3.0 2.0 3.8 1.2 3.9 1.1 3752.0 3551.0
 3.0 1.0 2.0 4.0 1.0 3.9 0.9 4.0 1.0 4654.0 589.0
 4.0 4.0 0.0 3.0 1.0 3.9 0.1 3.9 0.1 2388.0 100.0
 4.0 4.0 0.0 2.0 2.0 3.2 0.8 3.6 0.4 2302.0 3534.0
 3.0 4.0 1.0 2.0 1.0 3.9 0.9 4.1 1.1 4388.0 2354.0
 4.0 3.0 1.0 3.0 1.0 2.7 1.3 2.9 1.1 4221.0 3437.0
 5.0 2.0 3.0 4.0 1.0 3.9 1.1 4.0 1.0 1545.0 2715.0
 4.0 4.0 0.0 3.0 1.0 4.0 0.0 4.1 0.1 4578.0 3470.0
 4.0 3.0 1.0 5.0 1.0 4.2 0.2 4.4 0.4 2618.0 1207.0
 4.0 4.0 0.0 3.0 1.0 4.5 0.5 4.6 0.6 549.0 49.0
 2.0 2.0 0.0 2.0 0.0 3.0 1.0 3.4 1.4 6015.0 2371.0
 4.0 3.0 1.0 4.0 0.0 3.9 0.1 4.3 0.3 194.0 2487.0
 4.0 5.0 1.0 3.0 1.0 4.1 0.1 4.3 0.3 1442.0 1198.0
 3.0 1.0 2.0 3.0 0.0 4.1 1.1 4.7 1.7 5626.0 944.0
 5.0 5.0 0.0 5.0 0.0 4.3 0.7 4.6 0.4 1893.0 1224.0
 4.0 4.0 0.0 4.0 0.0 3.4 0.6 3.6 0.4 3482.0 520.0
 3.0 3.0 0.0 3.0 0.0 3.8 0.8 3.8 0.8 1666.0 1465.0
 5.0 4.0 1.0 5.0 0.0 4.1 0.9 4.3 0.7 5433.0 2009.0
 4.0 3.0 1.0 4.0 0.0 3.7 0.3 3.9 0.1 4866.0 1126.0
 5.0 5.0 0.0 5.0 0.0 4.2 0.8 4.5 0.5 423.0 1207.0
 4.0 5.0 1.0 3.0 1.0 2.5 1.5 3.1 0.9 2135.0 2712.0
 2.0 2.0 0.0 4.0 2.0 2.8 0.8 3.0 1.0 564.0 3917.0
 5.0 3.0 2.0 4.0 1.0 3.5 1.5 3.9 1.1 4155.0 1091.0
 4.0 5.0 1.0 3.0 1.0 3.6 0.4 3.6 0.4 53.0 3684.0
 4.0 1.0 3.0 4.0 0.0 3.4 0.6 3.5 0.5 4625.0 1644.0
 4.0 4.0 0.0 4.0 0.0 3.2 0.8 3.8 0.2 2267.0 1688.0
 4.0 5.0 1.0 4.0 0.0 3.8 0.2 3.8 0.2 2643.0 479.0
 5.0 1.0 4.0 4.0 1.0 4.0 1.0 4.7 0.3 1964.0 919.0
 1.0 3.0 2.0 3.0 2.0 4.4 3.4 4.4 3.4 2933.0 592.0
 5.0 4.0 1.0 4.0 1.0 3.9 1.1 4.4 0.6 4326.0 1226.0
 5.0 4.0 1.0 4.0 1.0 3.9 1.1 4.7 0.3 398.0 3750.0
 4.0 5.0 1.0 3.0 1.0 4.1 0.1 4.2 0.2 3009.0 1252.0
 4.0 3.0 1.0 3.0 1.0 3.1 0.9 3.1 0.9 116.0 2093.0
 4.0 2.0 2.0 2.0 2.0 2.9 1.1 2.9 1.1 1172.0 3325.0
 4.0 3.0 1.0 3.0 1.0 2.4 1.6 3.0 1.0 5419.0 257.0
 3.0 4.0 1.0 4.0 1.0 3.5 0.5 3.6 0.6 2904.0 2406.0
 3.0 3.0 0.0 2.0 1.0 3.3 0.3 3.7 0.7 5276.0 2616.0
 5.0 5.0 0.0 5.0 0.0 3.6 1.4 3.9 1.1 5793.0 170.0
 4.0 3.0 1.0 4.0 0.0 3.6 0.4 3.7 0.3 3716.0 2840.0
 4.0 3.0 1.0 4.0 0.0 4.4 0.4 4.5 0.5 5652.0 922.0
 5.0 2.0 3.0 4.0 1.0 3.2 1.8 3.3 1.7 354.0 375.0
 4.0 5.0 1.0 3.0 1.0 4.5 0.5 4.6 0.6 3154.0 259.0
 2.0 4.0 2.0 5.0 3.0 3.8 1.8 4.0 2.0 5491.0 10.0
 3.0 4.0 1.0 2.0 1.0 2.9 0.1 3.5 0.5 4270.0 184.0
 4.0 4.0 0.0 3.0 1.0 3.7 0.3 3.9 0.1 5518.0 298.0
 5.0 4.0 1.0 5.0 0.0 3.6 1.4 3.9 1.1 3699.0 20.0
 3.0 3.0 0.0 4.0 1.0 3.4 0.4 3.6 0.6 5552.0 3106.0
 4.0 3.0 1.0 5.0 1.0 3.6 0.4 4.1 0.1 4488.0 2160.0
 5.0 3.0 2.0 3.0 2.0 3.8 1.2 4.1 0.9 3967.0 3792.0
 5.0 4.0 1.0 1.0 4.0 3.9 1.1 4.1 0.9 2010.0 3359.0
 4.0 3.0 1.0 1.0 3.0 3.8 0.2 4.1 0.1 2852.0 1499.0
 2.0 4.0 2.0 3.0 1.0 3.7 1.7 4.0 2.0 4822.0 2114.0
 5.0 5.0 0.0 5.0 0.0 4.4 0.6 5.4 0.4 5458.0 2761.0
 4.0 4.0 0.0 2.0 2.0 4.0 0.0 4.1 0.1 1883.0 3782.0
 2.0 2.0 0.0 2.0 0.0 2.3 0.3 2.4 0.4 2886.0 2949.0
 3.0 3.0 0.0 3.0 0.0 3.6 0.6 4.0 1.0 4960.0 2057.0
 3.0 3.0 0.0 4.0 1.0 4.2 1.2 4.6 1.6 2775.0 1357.0
 2.0 3.0 1.0 1.0 1.0 2.9 0.9 3.7 1.7 1009.0 2092.0
 5.0 4.0 1.0 4.0 1.0 3.9 1.1 4.0 1.0 3675.0 1281.0
 4.0 2.0 2.0 3.0 1.0 2.9 1.1 3.5 0.5 3200.0 2716.0
 4.0 4.0 0.0 4.0 0.0 3.4 0.6 3.5 0.5 965.0 2572.0
 2.0 4.0 2.0 4.0 2.0 3.7 1.7 3.7 1.7 1463.0 2114.0
 4.0 4.0 0.0 5.0 1.0 3.8 0.2 3.9 0.1 5467.0 1284.0
 5.0 5.0 0.0 2.0 3.0 3.4 1.6 3.4 1.6 1113.0 3744.0
 1.0 3.0 2.0 1.0 0.0 3.5 2.5 3.6 2.6 5953.0 1369.0
 3.0 3.0 0.0 3.0 0.0 3.2 0.2 3.3 0.3 4522.0 3622.0
 5.0 5.0 0.0 5.0 0.0 4.2 0.8 4.2 0.8 2237.0 1279.0
 4.0 2.0 2.0 3.0 1.0 3.7 0.3 4.0 0.0 2249.0 2986.0
 4.0 3.0 1.0 3.0 1.0 3.0 1.0 3.8 0.2 4374.0 787.0
 5.0 4.0 1.0 3.0 2.0 3.8 1.2 4.4 0.6 185.0 3158.0
 4.0 3.0 1.0 3.0 1.0 3.4 0.6 3.6 0.4 207.0 3705.0
 5.0 1.0 4.0 5.0 0.0 4.4 0.6 4.4 0.6 352.0 592.0
 4.0 4.0 0.0 2.0 2.0 3.1 0.9 3.3 0.7 2800.0 2484.0
 4.0 1.0 3.0 4.0 0.0 3.3 0.7 3.3 0.7 831.0 2656.0
 3.0 4.0 1.0 2.0 1.0 3.6 0.6 3.7 0.7 1693.0 20.0
 4.0 1.0 3.0 3.0 1.0 3.7 0.3 3.7 0.3 3975.0 234.0
 3.0 3.0 0.0 2.0 1.0 3.1 0.1 3.2 0.2 5219.0 2484.0
 3.0 4.0 1.0 4.0 1.0 3.3 0.3 3.4 0.4 267.0 3032.0
 4.0 3.0 1.0 2.0 2.0 3.0 1.0 3.3 0.7 330.0 1421.0
 5.0 5.0 0.0 5.0 0.0 4.0 1.0 4.2 0.8 3392.0 3653.0
 5.0 4.0 1.0 5.0 0.0 3.9 1.1 4.2 0.8 5963.0 31.0
 4.0 3.0 1.0 4.0 0.0 3.7 0.3 4.0 0.0 2184.0 3243.0
 3.0 3.0 0.0 3.0 0.0 4.3 1.3 4.8 1.8 4021.0 1283.0
 4.0 4.0 0.0 3.0 1.0 3.9 0.1 4.4 0.4 4021.0 2661.0
 5.0 2.0 3.0 5.0 0.0 4.1 0.9 4.1 0.9 5808.0 1198.0
 3.0 3.0 0.0 4.0 1.0 4.1 1.1 4.2 1.2 1124.0 456.0
 2.0 1.0 1.0 1.0 1.0 2.5 0.5 2.8 0.8 3973.0 18.0
 5.0 4.0 1.0 4.0 1.0 3.8 1.2 3.9 1.1 295.0 3931.0
 3.0 3.0 0.0 3.0 0.0 3.2 0.2 3.3 0.3 4724.0 59.0
 2.0 2.0 0.0 2.0 0.0 2.7 0.7 2.7 0.7 1513.0 3453.0
 3.0 3.0 0.0 4.0 1.0 4.2 1.2 4.5 1.5 191.0 1703.0
 5.0 4.0 1.0 5.0 0.0 3.9 1.1 4.1 0.9 5994.0 1967.0
 3.0 4.0 1.0 4.0 1.0 3.8 0.8 4.4 1.4 4276.0 721.0
 5.0 5.0 0.0 5.0 0.0 4.5 0.5 4.7 0.3 4264.0 1197.0
 2.0 2.0 0.0 3.0 1.0 3.6 1.6 3.7 1.7 5688.0 2160.0
 5.0 4.0 1.0 5.0 0.0 4.3 0.7 4.5 0.5 258.0 2323.0
 4.0 3.0 1.0 5.0 1.0 3.7 0.3 3.9 0.1 3500.0 491.0
 2.0 4.0 2.0 4.0 2.0 3.4 1.4 3.7 1.7 4608.0 499.0
 4.0 3.0 1.0 4.0 0.0 3.5 0.5 3.8 0.2 245.0 3465.0
 4.0 4.0 0.0 1.0 3.0 3.9 0.1 4.2 0.2 1080.0 1681.0
 3.0 3.0 0.0 3.0 0.0 4.1 1.1 4.5 1.5 4753.0 1292.0
 4.0 3.0 1.0 2.0 2.0 3.2 0.8 3.4 0.6 5481.0 735.0
 4.0 2.0 2.0 4.0 0.0 3.5 0.5 3.7 0.3 1223.0 2928.0
 3.0 4.0 1.0 2.0 1.0 3.2 0.2 3.3 0.3 1390.0 2566.0
 5.0 5.0 0.0 3.0 2.0 4.0 1.0 4.0 1.0 53.0 1078.0
 3.0 1.0 2.0 4.0 1.0 3.3 0.3 3.4 0.4 5288.0 2002.0
 4.0 3.0 1.0 2.0 2.0 3.0 1.0 3.3 0.7 4519.0 2709.0
 3.0 3.0 0.0 4.0 1.0 3.1 0.1 3.8 0.8 5331.0 1585.0
 2.0 4.0 2.0 5.0 3.0 3.9 1.9 4.0 2.0 452.0 2598.0
 5.0 4.0 1.0 4.0 1.0 4.0 1.0 4.4 0.6 3030.0 2685.0
 4.0 5.0 1.0 4.0 0.0 3.2 0.8 3.2 0.8 807.0 187.0
 2.0 5.0 3.0 3.0 1.0 4.3 2.3 4.6 2.6 5073.0 1283.0
 5.0 5.0 0.0 5.0 0.0 4.1 0.9 4.4 0.6 1190.0 1943.0
 3.0 2.0 1.0 4.0 1.0 2.9 0.1 2.9 0.1 1300.0 2793.0
 4.0 3.0 1.0 4.0 0.0 4.1 0.1 4.1 0.1 2995.0 1609.0
 4.0 5.0 1.0 3.0 1.0 4.1 0.1 4.2 0.2 4665.0 355.0
 3.0 5.0 2.0 4.0 1.0 3.6 0.6 4.0 1.0 2011.0 379.0
 4.0 4.0 0.0 5.0 1.0 4.5 0.5 4.7 0.7 1014.0 49.0
 4.0 5.0 1.0 4.0 0.0 4.4 0.4 4.4 0.4 110.0 2761.0
 3.0 1.0 2.0 3.0 0.0 3.2 0.2 3.3 0.3 3511.0 3443.0
 1.0 3.0 2.0 1.0 0.0 3.8 2.8 4.3 3.3 1783.0 1920.0
 4.0 5.0 1.0 4.0 0.0 3.9 0.1 4.2 0.2 3037.0 899.0
 4.0 4.0 0.0 4.0 0.0 3.4 0.6 3.4 0.6 59.0 1596.0
 2.0 5.0 3.0 2.0 0.0 3.6 1.6 3.6 1.6 2591.0 3684.0
 2.0 1.0 1.0 5.0 3.0 3.6 1.6 3.7 1.7 438.0 2290.0
 4.0 5.0 1.0 1.0 3.0 3.6 0.4 3.7 0.3 3716.0 1607.0
 2.0 4.0 2.0 2.0 0.0 3.4 1.4 3.5 1.5 5278.0 2469.0
 3.0 2.0 1.0 2.0 1.0 3.3 0.3 3.4 0.4 4087.0 3299.0
 4.0 1.0 3.0 1.0 3.0 3.6 0.4 3.7 0.3 5748.0 1406.0
 5.0 5.0 0.0 3.0 2.0 4.5 0.5 5.1 0.1 5827.0 259.0
 3.0 4.0 1.0 1.0 2.0 3.2 0.2 3.5 0.5 2214.0 2843.0
 5.0 4.0 1.0 2.0 3.0 4.1 0.9 4.5 0.5 98.0 3577.0
 3.0 3.0 0.0 5.0 2.0 3.8 0.8 3.9 0.9 3308.0 3360.0
 2.0 3.0 1.0 2.0 0.0 3.1 1.1 3.5 1.5 5879.0 169.0
 1.0 2.0 1.0 2.0 1.0 3.6 2.6 3.8 2.8 3841.0 1297.0
 2.0 4.0 2.0 2.0 0.0 3.4 1.4 3.4 1.4 646.0 328.0
 3.0 4.0 1.0 3.0 0.0 3.8 0.8 3.9 0.9 5919.0 3059.0
 4.0 2.0 2.0 3.0 1.0 4.2 0.2 4.7 0.7 5687.0 918.0
 5.0 4.0 1.0 4.0 1.0 4.0 1.0 4.3 0.7 2524.0 2907.0
 5.0 4.0 1.0 1.0 4.0 3.9 1.1 4.1 0.9 4972.0 3407.0
 5.0 5.0 0.0 1.0 4.0 4.3 0.7 4.5 0.5 2937.0 607.0
 4.0 1.0 3.0 3.0 1.0 3.3 0.7 3.9 0.1 2898.0 1883.0
 4.0 4.0 0.0 4.0 0.0 4.2 0.2 4.3 0.3 5182.0 3682.0
 5.0 4.0 1.0 4.0 1.0 3.7 1.3 3.8 1.2 3232.0 3417.0
 5.0 4.0 1.0 3.0 2.0 4.2 0.8 4.9 0.1 3663.0 2691.0
 4.0 3.0 1.0 4.0 0.0 3.2 0.8 3.5 0.5 3066.0 1916.0
 4.0 4.0 0.0 4.0 0.0 4.2 0.2 4.7 0.7 3197.0 1616.0
 5.0 1.0 4.0 2.0 3.0 3.5 1.5 3.5 1.5 3835.0 367.0
 3.0 4.0 1.0 4.0 1.0 4.2 1.2 4.8 1.8 586.0 3467.0
 1.0 1.0 0.0 3.0 2.0 3.3 2.3 3.7 2.7 4267.0 1394.0
 4.0 2.0 2.0 3.0 1.0 3.4 0.6 3.6 0.4 3506.0 2099.0
 5.0 5.0 0.0 4.0 1.0 3.8 1.2 4.0 1.0 5810.0 1284.0
 5.0 5.0 0.0 5.0 0.0 4.3 0.7 4.5 0.5 1072.0 897.0
 3.0 4.0 1.0 3.0 0.0 3.5 0.5 3.8 0.8 4223.0 9.0
 4.0 3.0 1.0 1.0 3.0 3.6 0.4 4.0 0.0 3258.0 3947.0
 3.0 1.0 2.0 4.0 1.0 3.8 0.8 4.5 1.5 2646.0 479.0
 4.0 3.0 1.0 4.0 0.0 3.6 0.4 3.7 0.3 5393.0 1119.0
 3.0 5.0 2.0 1.0 2.0 2.7 0.3 3.2 0.2 304.0 2897.0
 5.0 3.0 2.0 3.0 2.0 4.2 0.8 4.3 0.7 1195.0 915.0
 4.0 4.0 0.0 3.0 1.0 2.7 1.3 2.7 1.3 786.0 3284.0
 4.0 2.0 2.0 1.0 3.0 3.4 0.6 3.8 0.2 191.0 1882.0
 5.0 5.0 0.0 2.0 3.0 4.0 1.0 4.1 0.9 201.0 1673.0
